,total_time,num_moves,backtrack_count,width,height,type,algorithm,date
0,0.040018,127,0,50,50,static,astar,2025-04-11 06:27:26.569016
1,0.044253,127,0,50,50,static,astar,2025-04-11 06:20:06.029179
2,0.055952,127,0,50,50,static,astar,2025-04-11 06:13:49.479235
7,11.816497,127,0,50,50,static,astar,2025-04-11 12:28:07.340819
8,13.121991,127,0,50,50,static,astar,2025-04-11 12:28:37.474045
9,0.002421,137,0,50,50,static,dfs,2025-04-11 07:45:21.777562
10,0.002553,137,0,50,50,static,dfs,2025-04-11 07:45:12.863922
11,0.001256,1279,0,50,50,static,right-hand-rule,2025-04-11 04:01:50.712645
12,0.001367,1279,0,50,50,static,right-hand-rule,2025-04-11 04:01:50.712607
13,0.001546,1279,0,50,50,static,right-hand-rule,2025-04-11 05:49:36.232718
14,0.001684,1279,0,50,50,static,right-hand-rule,2025-04-11 04:01:50.712688
15,0.001809,1279,0,50,50,static,right-hand-rule,2025-04-11 05:48:14.453124
16,0.002,1279,0,50,50,static,right-hand-rule,2025-04-11 04:01:50.712462
17,0.002874,1279,0,50,50,static,right-hand-rule,2025-04-11 05:21:43.908794
11.654384,127,0,50,50,static,astar,2025-04-11 12:51:35.616113
13.057742,127,0,50,50,static,astar,2025-04-11 12:52:21.511014
14.071175,127,0,50,50,static,astar,2025-04-11 12:53:03.047162
0.042679,127,0,50,50,static,astar,2025-04-11 12:53:09.106125
